18Q : 342/729
18 ((1, 1, 2, 1, 1, 0), 756)
18 ((1, 2, 1, 0, 2, 1), 756)
18 ((1, 2, 1, 2, 0, 2), 756)
18 ((1, 2, 2, 1, 0, 1), 756)
18 ((2, 0, 1, 0, 2, 1), 756)
18 ((2, 0, 1, 2, 0, 2), 756)
18 ((2, 1, 1, 0, 1, 2), 756)
18 ((2, 1, 1, 1, 2, 0), 756)
18 ((2, 2, 1, 1, 1, 1), 756)
18 ((2, 2, 2, 0, 1, 0), 756)
19 ((0, 0, 1, 1, 2, 1), 768)
19 ((0, 1, 1, 1, 1, 2), 768)
19 ((0, 1, 1, 2, 2, 0), 768)
19 ((0, 1, 2, 0, 1, 1), 768)
19 ((0, 2, 1, 2, 1, 1), 768)
19 ((1, 0, 1, 2, 1, 1), 768)
19 ((1, 0, 2, 1, 1, 0), 768)
19 ((1, 1, 1, 0, 2, 1), 768)
19 ((1, 1, 1, 2, 0, 2), 768)
19 ((1, 1, 2, 1, 0, 1), 768)
19 ((1, 2, 1, 0, 1, 2), 768)
19 ((1, 2, 1, 1, 2, 0), 768)
19 ((2, 0, 1, 0, 1, 2), 768)
19 ((2, 0, 1, 1, 2, 0), 768)
19 ((2, 1, 1, 1, 1, 1), 768)
19 ((2, 1, 2, 0, 1, 0), 768)
19 ((2, 2, 1, 1, 0, 2), 768)
19 ((2, 2, 1, 2, 1, 0), 768)
20 ((0, 0, 1, 1, 1, 2), 780)
20 ((0, 0, 1, 2, 2, 0), 780)
20 ((0, 0, 2, 0, 1, 1), 780)
20 ((0, 1, 1, 2, 1, 1), 780)
20 ((0, 2, 1, 0, 2, 1), 780)
20 ((1, 0, 1, 0, 2, 1), 780)
20 ((1, 0, 1, 2, 0, 2), 780)
20 ((1, 0, 2, 1, 0, 1), 780)
20 ((1, 1, 1, 0, 1, 2), 780)
20 ((1, 1, 1, 1, 2, 0), 780)
20 ((1, 2, 1, 1, 1, 1), 780)
20 ((1, 2, 2, 0, 1, 0), 780)
20 ((2, 0, 1, 1, 1, 1), 780)
20 ((2, 0, 2, 0, 1, 0), 780)
20 ((2, 1, 1, 1, 0, 2), 780)
20 ((2, 1, 1, 2, 1, 0), 780)
20 ((2, 2, 1, 0, 2, 0), 780)
20 ((2, 2, 1, 2, 0, 1), 780)
21 ((0, 0, 1, 2, 1, 1), 792)
21 ((0, 1, 1, 0, 2, 1), 792)
21 ((0, 2, 1, 0, 1, 2), 792)
21 ((0, 2, 1, 1, 2, 0), 792)
21 ((1, 0, 1, 0, 1, 2), 792)
21 ((1, 0, 1, 1, 2, 0), 792)
21 ((1, 1, 1, 1, 1, 1), 792)
21 ((1, 1, 2, 0, 1, 0), 792)
21 ((1, 2, 1, 1, 0, 2), 792)
21 ((1, 2, 1, 2, 1, 0), 792)
21 ((1, 2, 2, 0, 0, 1), 792)
21 ((2, 0, 1, 1, 0, 2), 792)
21 ((2, 0, 1, 2, 1, 0), 792)
21 ((2, 1, 1, 0, 2, 0), 792)
21 ((2, 1, 1, 2, 0, 1), 792)
21 ((2, 2, 1, 0, 1, 1), 792)
22 ((0, 0, 1, 0, 2, 1), 804)
22 ((0, 1, 1, 0, 1, 2), 804)
22 ((0, 1, 1, 1, 2, 0), 804)
22 ((0, 2, 1, 1, 1, 1), 804)
22 ((1, 0, 1, 1, 1, 1), 804)
22 ((1, 0, 2, 0, 1, 0), 804)
22 ((1, 1, 1, 1, 0, 2), 804)
22 ((1, 1, 1, 2, 1, 0), 804)
22 ((1, 1, 2, 0, 0, 1), 804)
22 ((1, 2, 1, 0, 2, 0), 804)
22 ((1, 2, 1, 2, 0, 1), 804)
22 ((2, 0, 1, 0, 2, 0), 804)
22 ((2, 0, 1, 2, 0, 1), 804)
22 ((2, 1, 1, 0, 1, 1), 804)
22 ((2, 2, 0, 2, 1, 1), 804)
22 ((2, 2, 1, 0, 0, 2), 804)
22 ((2, 2, 1, 1, 1, 0), 804)
23 ((0, 0, 1, 0, 1, 2), 816)
23 ((0, 0, 1, 1, 2, 0), 816)
23 ((0, 1, 1, 1, 1, 1), 816)
23 ((0, 2, 1, 2, 1, 0), 816)
23 ((1, 0, 1, 1, 0, 2), 816)
23 ((1, 0, 1, 2, 1, 0), 816)
23 ((1, 0, 2, 0, 0, 1), 816)
23 ((1, 1, 1, 0, 2, 0), 816)
23 ((1, 1, 1, 2, 0, 1), 816)
23 ((1, 2, 1, 0, 1, 1), 816)
23 ((2, 0, 1, 0, 1, 1), 816)
23 ((2, 1, 0, 2, 1, 1), 816)
23 ((2, 1, 1, 0, 0, 2), 816)
23 ((2, 1, 1, 1, 1, 0), 816)
23 ((2, 2, 1, 1, 0, 1), 816)
24 ((0, 0, 1, 1, 1, 1), 828)
24 ((0, 1, 1, 2, 1, 0), 828)
